Time Stamp, Pressure, System State, Alarm State,,Second ,minutes ,hours,days,year,,,,,,,
1588809852250,14662062,d,1,,1588809852.25,26480164.2041667,441336.070069444,18389.0029195602,50.3808299166033,,,,,,,
1588809852500,14675137,d,1,,1588809852.5,26480164.2083333,441336.070138889,18389.0029224537,50.3808299245307,,,,,,,
1588809852750,14689316,d,1,,1588809852.75,26480164.2125,441336.070208333,18389.0029253472,50.3808299324581,,,,,,,
1588809853000,14704265,d,1,,1588809853,26480164.2166667,441336.070277778,18389.0029282407,50.3808299403856,,,,,,,
1588809853250,14719576,d,1,,1588809853.25,26480164.2208333,441336.070347222,18389.0029311343,50.380829948313,,,,,,,
1588809853500,14732972,d,1,,1588809853.5,26480164.225,441336.070416667,18389.0029340278,50.3808299562405,,,,,,,
1588809853750,14747786,d,1,,1588809853.75,26480164.2291667,441336.070486111,18389.0029369213,50.3808299641679,,,,,,,
1588809854000,14762819,d,1,,1588809854,26480164.2333333,441336.070555556,18389.0029398148,50.3808299720954,,,,,,,
1588809854250,14776799,d,1,,1588809854.25,26480164.2375,441336.070625,18389.0029427083,50.3808299800228,,,,,,,
1588809854500,14792309,d,1,,1588809854.5,26480164.2416667,441336.070694444,18389.0029456019,50.3808299879503,,,,,,,
1588809854750,14805614,d,1,,1588809854.75,26480164.2458333,441336.070763889,18389.0029484954,50.3808299958777,,,,,,,
1588809855000,14819359,d,1,,1588809855,26480164.25,441336.070833333,18389.0029513889,50.3808300038052,,,,,,,
1588809855250,14834257,d,1,,1588809855.25,26480164.2541667,441336.070902778,18389.0029542824,50.3808300117326,,,,,,,
1588809855500,14847717,d,1,,1588809855.5,26480164.2583333,441336.070972222,18389.0029571759,50.3808300196601,,,,,,,
1588809855750,14861077,d,1,,1588809855.75,26480164.2625,441336.071041667,18389.0029600694,50.3808300275875,,,,,,,
1588809856000,14876422,d,1,,1588809856,26480164.2666667,441336.071111111,18389.002962963,50.380830035515,,,,,,,
1588809856250,14891012,d,1,,1588809856.25,26480164.2708333,441336.071180556,18389.0029658565,50.3808300434424,,,,,,,
1588809856500,14906532,d,1,,1588809856.5,26480164.275,441336.07125,18389.00296875,50.3808300513699,,,,,,,
1588809856750,14921157,d,1,,1588809856.75,26480164.2791667,441336.071319444,18389.0029716435,50.3808300592973,,,,,,,
1588809857000,14936768,d,1,,1588809857,26480164.2833333,441336.071388889,18389.002974537,50.3808300672248,,,,,,,
1588809857250,14951426,d,1,,1588809857.25,26480164.2875,441336.071458333,18389.0029774306,50.3808300751522,,,,,,,
